"","Sentence","score"
"1","BG_SE_91",97
"2","BG_SE_170",95.4
"3","BG_SE_38",95.2
"4","BG_SE_164",94.2
"5","BG_SE_55",94
"6","BG_SE_132",93.2
"7","BG_SE_4",93.2
"8","BG_SE_8",93.2
"9","BG_SE_68",93
"10","BG_SE_79",92.8
"11","BG_SE_108",92.2
"12","BG_SE_12",92.2
"13","BG_SE_58",92.2
"14","BG_SE_25",92
"15","BG_SE_26",91.6
"16","BG_SE_159",91.4
"17","BG_SE_143",91.2
"18","BG_SE_186",91
"19","BG_SE_69",90.6
"20","BG_SE_161",89.2
"21","BG_SE_167",89.2
"22","BG_SE_105",88.8
"23","BG_SE_14",88.8
"24","BG_SE_54",88.6
"25","BG_SE_153",88.4
"26","BG_SE_57",88.2
"27","BG_SE_99",87.2
"28","BG_SE_119",87
"29","BG_SE_83",86.4
"30","BG_SE_90",86
"31","BG_SE_60",85.8
"32","BG_SE_155",85.6
"33","BG_SE_37",85
"34","BG_SE_188",83.2
"35","BG_SE_172",82.2
"36","BG_SE_98",81.8
"37","BG_SE_112",81.2
"38","BG_SE_7",81.2
"39","BG_SE_176",81
"40","BG_SE_191",80.8
"41","BG_SE_31",80.4
"42","BG_SE_179",79.8
"43","BG_SE_190",78.8
"44","BG_SE_94",77.6
"45","BG_SE_133",77
"46","BG_SE_16",76.4
"47","BG_SE_151",75.8
"48","BG_SE_127",75.6
"49","BG_SE_41",75.6
"50","BG_SE_111",74.4
"51","BG_SE_96",73.8
"52","BG_SE_126",73.4
"53","BG_SE_67",71.2
"54","BG_SE_76",69.6
"55","BG_SE_87",69.2
"56","BG_SE_139",68.8
"57","BG_SE_182",67.4
"58","BG_SE_24",67.2
"59","BG_SE_158",65.8
"60","BG_SE_48",65.6
"61","BG_SE_6",65.4
"62","BG_SE_107",65.2
"63","BG_SE_168",65
"64","BG_SE_51",63.4
"65","BG_SE_49",62.6
"66","BG_SE_81",62.4
"67","BG_SE_197",62.2
"68","BG_SE_147",61.4
"69","BG_SE_75",61.4
"70","BG_SE_165",61.2
"71","BG_SE_125",60.2
"72","BG_SE_64",57.8
"73","BG_SE_130",56.8
"74","BG_SE_65",56
"75","BG_SE_82",56
"76","BG_SE_193",55.4
"77","BG_SE_10",55
"78","BG_SE_198",54.4
"79","BG_SE_59",52
"80","BG_SE_18",51.6
"81","BG_SE_66",51
"82","BG_SE_177",50.6
"83","BG_SE_36",50
"84","BG_SE_95",49.2
"85","BG_SE_78",48.6
"86","BG_SE_142",48.2
"87","BG_SE_166",47.4
"88","BG_SE_1",47.2
"89","BG_SE_114",46.6
"90","BG_SE_29",46.6
"91","BG_SE_44",45.2
"92","BG_SE_117",44.4
"93","BG_SE_45",43.8
"94","BG_SE_120",43.4
"95","BG_SE_13",43
"96","BG_SE_136",42.8
"97","BG_SE_92",42
"98","BG_SE_30",41.6
"99","BG_SE_122",40.8
"100","BG_SE_63",40.6
"101","BG_SE_97",40.6
"102","BG_SE_154",40.4
"103","BG_SE_40",40.4
"104","BG_SE_113",40.2
"105","BG_SE_104",39.2
"106","BG_SE_185",38.8
"107","BG_SE_115",38.2
"108","BG_SE_15",37.8
"109","BG_SE_72",37.8
"110","BG_SE_35",37
"111","BG_SE_20",36.8
"112","BG_SE_22",36.6
"113","BG_SE_27",36.4
"114","BG_SE_192",35.8
"115","BG_SE_129",34.6
"116","BG_SE_123",33.2
"117","BG_SE_100",32.8
"118","BG_SE_71",32
"119","BG_SE_118",30.4
"120","BG_SE_171",30.2
"121","BG_SE_181",29.6
"122","BG_SE_89",29.6
"123","BG_SE_61",29.4
"124","BG_SE_131",29.2
"125","BG_SE_85",29
"126","BG_SE_102",28.2
"127","BG_SE_84",27.6
"128","BG_SE_109",27
"129","BG_SE_46",27
"130","BG_SE_11",25.2
"131","BG_SE_148",25
"132","BG_SE_183",24.6
"133","BG_SE_121",24.4
"134","BG_SE_180",24.2
"135","BG_SE_52",24
"136","BG_SE_146",22.4
"137","BG_SE_145",22.2
"138","BG_SE_73",22.2
"139","BG_SE_152",22
"140","BG_SE_128",21
"141","BG_SE_56",20.6
"142","BG_SE_134",20.4
"143","BG_SE_156",20.4
"144","BG_SE_34",19.8
"145","BG_SE_9",18.8
"146","BG_SE_42",18.6
"147","BG_SE_169",18.2
"148","BG_SE_93",17.8
"149","BG_SE_50",17.6
"150","BG_SE_88",17.4
"151","BG_SE_28",16.6
"152","BG_SE_163",16.2
"153","BG_SE_43",15.2
"154","BG_SE_160",14.4
"155","BG_SE_5",14
"156","BG_SE_157",13.8
"157","BG_SE_106",13.6
"158","BG_SE_140",13.2
"159","BG_SE_2",13.2
"160","BG_SE_189",12.6
"161","BG_SE_178",12.4
"162","BG_SE_141",11.2
"163","BG_SE_47",11
"164","BG_SE_86",10.6
"165","BG_SE_150",10.4
"166","BG_SE_138",9.4
"167","BG_SE_194",9.2
"168","BG_SE_53",8.6
"169","BG_SE_144",8
"170","BG_SE_199",7.4
"171","BG_SE_101",7
"172","BG_SE_175",6.6
"173","BG_SE_137",6.2
"174","BG_SE_174",4.6
